rarity,question,answer
N,こんにちは,こんにちは！
R,最近の趣味は？,最近は読書を楽しんでいます。
SR,宇宙の謎を語って,宇宙は広大で未知の世界。
UR,未来の予測は？,技術が進化し続け、新しい時代が始まるでしょう。
N,最近見た映画は何ですか？,「ミッドナイト・サン」を見ました。感動的でした。
N,好きな音楽のジャンルは何ですか？,J-POPが大好きです。最近のアーティストだとKing Gnuがお気に入りです。
N,週末の予定は決まっていますか？,友人と近くのカフェでランチを予定しています。
N,最後に旅行に行った場所はどこですか？,箱根に行って、温泉に入りました。
N,おすすめのレストランはありますか？,代官山にあるイタリアンの店「ラ・タヴォラ」は美味しいですよ。
R,最近の趣味や特技はなんですか？,料理を始めました。最近はパスタをよく作ります。
R,どんなスポーツをしていますか？,ジョギングとヨガを週に3回ずつしています。
R,最近読んだ本やマンガはありますか？,「鬼滅の刃」を読んで、とても面白かったです。
R,最後にコンサートやライブに行ったのはいつですか？,先月、YOASOBIのライブに行きました。
R,今の季節に合ったおすすめの過ごし方は？,秋なら紅葉狩りや温泉旅行がおすすめです。
SR,最近もっとも興奮したことは？,温泉に入ったことです
UR,飽きてきた？,はい。
